novelid,title,author,tags,synopsis
3541556,误入婚途[娱乐圈],鱼霜,娱乐圈、婚恋、甜文、萌宠、轻松,"《误入婚途》同名广播剧已在饭角上线，欢迎收听！
出道就站在巅峰的孔希颜被雪藏了三年，复出后第一件事是被请到景烟娱乐公司总裁办公室。
老板是个漂亮女人，见她进门面色平静，递了张纸给她。
孔希颜接过看眼，结婚协议书。
洋洋洒洒三大页全部都是有利于她的，婚约三年。
孔希颜扬起契约书，询问：“为什么是我？”
“孔小姐。”迟晚照嗓音淡淡的：“听说你也喜欢猫？”
孔希颜这才看最后一项，迟晚照的要求只有一个，帮她养猫？
————————————
第一次亲她，迟总面有愧色：你长得太像我的猫了，忍不住。
第二次亲她，迟总神色坦荡：今晚月色太好，忍不住。
第三次亲她，迟总意犹未尽：太甜了，忍不住。
孔希颜拉下她衣襟：别忍了。
迟晚照：……
食用须知：
1.同性可婚背景。
2.先婚后爱。
3.防盗为80％，时间72小时。双更，更新是早十点，晚七点。
4.微博：晋江鱼霜。
4.文中三观并不是作者三观，讨论可以，勿人参攻击。"
1239340,魔女霓裳（gl）,八千岁,江湖、情有独钟、近水楼台、穿越时空、轻松,".  何为缘
.  命定？天意？无可逆？
.  不懂
.  只知见不得红颜白发，一剑殇情
-------------------------------------------------------
.  最爱的一位绝色，最厌的一段爱情，貌似迟迟不见大神来写，只得自己动手平怨念。
.  近来为不稳定更新，青涩，啰嗦，慢热，请见谅。
.  【感谢壹仟克君的封面】"
5739132,我要如何不想她,孤海寸光,天作之合,"【新文《闪闪发光的你》已开】
文案一：
宁恪闪婚了。
家族联姻，对象是颜家的颜云致。
宁恪骄纵任性，脾气冲得厉害，相当不好伺候。
颜云致清冷温柔，端庄大气，对谁说话都是轻声细语，很招人喜欢。
宁恪烦她烦得要命，这人端庄到虚伪，假死了。
大她十岁不说，还是个没用的病秧子，多走两步都要喘。
婚后两年，她们分房，互不干涉，四舍五入就是丧偶式婚姻。
直到有次回家，宁恪随手推开浴室的门，不想撞见颜云致在洗澡。
“宁恪，”一向清冷温柔的女人在浴室的水雾中温声说，“不用偷看，光明正大看。”
宁恪屏住呼吸，脸都涨红了，凶巴巴怼回去：“谁偷看你？都是女的，有什么好看的！”
可从那天起，宁恪整个人就不对劲了。
吃饭时想到颜小姐，走路时想到她。
就连睡觉时听到隔壁一声咳嗽，都会瞬间清醒到睡不着。
——她完了。
文案二：
当红小花宁恪拍摄综艺《完美搭档》时，著名小提琴家颜云致上过两期节目，跟她互动颇多。
CP粉嗑生嗑死，却被一顿痛斥，说宁恪这种流量花瓶也配碰瓷捆绑艺术家！
粉丝混战两天，直到第三期节目，摄像老师不经意间拍到颜云致从宁恪房间出来。
温柔娴雅，说话轻缓的颜老师柔声说：“她昨晚累了，让她多睡会。”
骂骂咧咧的粉丝：“……”
注：
1.年上。温柔端庄·病美人攻*明艳傲娇·大小姐受
2.番外有小包子。综艺有弹幕，有bug感谢指出
wb@写故事的光光光
专栏内很多完结文，欢迎戳~"
5143567,穿书后我被女主标记了,小吾君,天作之合、娱乐圈、甜文、穿书、轻松,"【私设须知】A分化没有两套器官，所有分化都只是信息素变化，生孩子我说行就行
黎初出事后，穿进了一本自己刚看完的娱乐圈abo言情文里。
很不巧黎初就穿成了眼红女主的炮灰，还穿到了出事现场，原主正准备给女主下药拍她的不雅图。
女主表面是个B，但黎初知道，她其实是个还没分化的O，在被下药她会完成觉醒，成为万人迷开启甜爽文路线，而对她下药的炮灰则下场非常凄惨。
想到炮灰的命运，黎初看着手里还没送出去的被下药了的水，毅然决然的自己喝了，没给女主留一口。
黎初原以为这样就万事大吉了，结果在她爆发的信息素里，宁曼青在她面前转化成了A。
“你好香，让我吸一口。”
黎初：我的绝世美O女主呢？？？
☆下一本《争春》见专栏"
4367788,总裁她总是哭唧唧,李秋琅,情有独钟、欢喜冤家、天作之合、甜文、轻松,"隔壁《然后骷髅笑出了声》求预收，文案在最下方，感谢~
沈宁馨毕业后进了家企业，做了一名实习生。
公司里氛围不错，工作也比较清闲，同事们都很照顾她，除了那个成天黑着脸，没有一点人情味的冰山老板。
“这个方案不合格，重新改。”
“你这单子做的是怎么回事，我之前告诉过你几遍了？”
“今天要是再做不完，晚上就别想走了。”
沈宁馨感觉自己上辈子绝对作了孽，所以才会摊上这么个一点都不可爱的上司。
直到有一天……她偶然发现了上司的微博小号。
——今天大家下班后聚餐没带我，我好难过。
——小张去旅游私底下全给大家带了特产，就是没有我的份，我都看见了QAQ
——沈宁馨一整天都没有和我说话，是不是我昨天骂她太狠，招她讨厌了……
要不是看到了相册里的照片，沈宁馨绝对不敢相信这竟然真的是她的老板。
原来冰山都是假的，哭包才是真的。
让她更加意想不到的是，自己竟然被这么个哭包给攻下了，还……吃的死死的。
沈宁馨：）
1v1 he
攻天生泪点低，外冷内热内心少女，但非常可靠，实力宠妻QwQ
～～～～～～～～～～～～～～～～～～～
1.防盗比例百分之七十 不满将需等待48小时
2.甜文，互相救赎 互相治愈 轻松无虐 不逆cp 以及文中出现的玻璃珠不是大家常说的那种，是铺路反光用的，非常非常小，大家有兴趣可以去查一查。
以及阿吉无原型，是我自己杜撰的。
3.福利番外三（倘若有前世）有刀子，看不了虐的宝可自行跳过。
4.文明交流，去留随意，不必告知，感谢支持
5.本文在短短三个月内遭遇了三次改文和抄袭事件，所造成的影响非常严重，现特意再强调一遍，本文不接受任何形式的改文也杜绝一切抄袭，如若发现必定追责【划重点】，请不要抱有任何侥幸心理
6.本文发表于20年五月，于20年7月完结，22年4月曾大修过，一些情节有做改动，之前看过的宝们有兴趣可以再重刷一遍~
能找到作者的围脖：是李秋琅呀
文案9.28日留 已截图发微博
～～～～～～～～～～～～～～～
隔壁《然后骷髅笑出了声》求预收，以下文案：
1.
祈秋雪在某社交软件上认识个女人，对方谈吐优雅，温柔善良，和祈秋雪三观很合。
多天的相处下，祈秋雪渐渐被她吸引，为之心动，直到有天 对方突然这样问她:“想看张露骨的照片吗？”
祈秋雪:“？”
几秒后，女人发来张比心骷髅。
祈秋雪:“……这可太露骨了。”
2.
机缘巧合下，祈秋雪被吸入了另一时空，想回到原来的世界就要完成各种各样的副本任务。
副本内四处充斥着危险，杀手、恶鬼、亡灵……难度系数s＋。
祈秋雪表示自己够惨的，更惨的是她的队友黎一清什么都不会，遇事只会喊救命。
好在祈秋雪运气不错，关键时刻总能保命，亡灵中似乎有个叛徒，多次帮她化险为夷。
后来祈秋雪终于看清，那是个骷髅，对方帮她撕碎面前的敌人，吞噬恶鬼的血肉。
再后来祈秋雪疑惑问黎一清:“你有什么头绪吗？”
黎一清悄悄抹去指尖的血迹，目中含泪:“我怎么知道，嘤嘤嘤。”
祈秋雪:“……”
主受 受有毒攻有病  无限流 1v1 he"
3876665,金牌调解员[快穿],柒殇祭,励志、甜文、快穿、爽文、轻松,"【被锁章节已经修改，等待通过，大家莫急哈，微博问我我也没有章节，感谢理解！】
花白禾是一名情感调解师，靠着自己一张嘴，劝和了不知道多少对活该在一起的破锅烂盖。
直到被情感系统选中。
穿越前。
她信誓旦旦将小平胸拍的砰砰作响：“只要有报酬，没什么情侣是我劝和不了的！”
系统：“好好干，小姑娘。”
穿越后。
花白禾看着压在自己上方的那人，一脸惊恐：“……不行，这对我真的不行！”
系统提示：“宿主不许和目标人物谈恋爱。”
身上那人的吻落了下来。
花白禾：“系统你听我说，我是被逼的，你让我干的。”
系统：“……”我没让你干主角！
食用须知：
1.谢绝扒榜！！！！
2.入v提醒：本文于11月13日起入v，届时掉落万字更新么么哒！
3.推荐基友的文：《假装直女》by一只花夹子
4.本文cp始终为同一人，且所有cp都是自愿在一起的啦！偶尔有些小情趣！不要当真！
*
主攻新文预收来康康！
《穿成炮灰赘A后》
叶浮光穿成了睡前读物里一个同名同姓的小废物。
小废物被叶家所厌弃，索性献到残暴的岐王府当冲喜赘婿。
谁也不知，岐王在大婚前就陷入昏迷。
此后再不会醒，直至死去。
叶浮光本想含泪继承巨额遗产，不久后却得知自己因无法唤醒岐王，要被拖去处死。
“？”
“诸位有所不知，岐王曾与我暗生情愫多年，如今一朝得偿所愿，大喜过望才陷入昏迷，你们若杀我，便是夺她所爱。”
王府众人：“？！”
-
岐王与小废物的爱情故事传遍大街小巷。
某天，叶浮光在床头润笔顺稿，不自觉念出：
“爱意从沈惊澜眼中流淌……她心知，此生她认定叶浮光，至死不渝……嘶，仿佛有些夸张？”
“夸张么？”旁边传来一道声音。
叶浮光想了想，摇头：“乾元与地坤的爱情本就不讲道理——”
忽然间，她转过头去，就见那该昏睡至死、再不会清醒的岐王殿下，正静静凝视着她。
话本另一主角沈惊澜慢吞吞地念出那些词：
“爱意流淌？”
“至死不渝？”
“不讲道理？”
叶浮光：……！
#如何从得知自己是禁忌情爱话本主角的暴君手里活下来，挺急的#
-
后来。
发觉叶浮光频频看路旁美人，沈惊澜揉了揉颈后疼痛痕迹，扣着叶浮光的下颌吻上去。
“再看，我就杀了她。”
“你这双眼中，只能盛本王一人。”"
3653366,中年恋爱补丁,宁远,年下、科幻、欢喜冤家、游戏网游、甜文、沙雕,"【实体书出版进度wb@宁远430】
2035年，遭遇中年危机的许幼鸢为了制作恋爱游戏，毅然决定拉下老脸，体验恋爱生活。
没想到一约就约到了大-麻烦。
许幼鸢：“别问了，和个小鬼约会能有什么好体验？”
时悦：“需要帮忙回忆一下你亲自写的300字好评么？”
这是一条来自匿名用户的评价：“不得不说，回味无穷，技术卓越，优势突出，续航能力超强，用户体验极好。本人亲自测试，五星好评……”
许幼鸢：……
甜文，年下。
又奶又狼运动♀健将扮猪吃老虎小狗崽x中年危机口不对心傲娇业界大佬。
别被开头欺骗，其实这是一篇脱缰的沙雕文……
作者微博@宁远430
————高亮提示：幼稚日常向—————
每天中午11:30更新，其他时间更新提示一般都是在抓虫。有存稿，放心入坑=v=
全文瞎掰，基本断定发生在另一个宇宙。
本文于10.29日入v，晋江独家连载，请勿转载，请已经转载的立即删文，谢谢。
谢绝扒榜，随缘防盗"
8747088,越界,宁远,情有独钟、天作之合、青梅竹马、甜文、爽文、成长,"林棘回国那夜，也是姜司意联姻对象宋缇的生日宴。
姜司意精心挑选了一大束朱砂碗赴宴，却被宋缇冷落。
看到林棘的车，宋缇立刻起身离开，朱砂碗被刮到地上，一地残花。
宋缇兴冲冲地为林棘开车门，追在她身后喊“表姐”。
而林棘始终打着电话，没看旁人一眼，走到姜司意面前，弯腰为她拾起了花。
漫天大雪间，林棘将瑟瑟发抖的姜司意接上车，用自己的羊绒披肩为她擦干头发的时候说：“她不懂珍惜，不妨换个更优质的联姻对象。”
姜司意：“谁？”
林棘：“我。”
姜司意主动提出退婚，宋缇依旧倨傲，“最后提醒你一句，退婚之后你在你家里可更不好过。”
姜司意：“那也与你无关了。”
-
林棘是圈子里有名的冷美人，心狠手辣的名声在外，姜司意从小就怕她。
闺蜜：“感觉就没有林棘姐姐不会的事儿。”
姜司意胆大包天，“未必，这么冷淡的人，肯定不会谈恋爱。”
几日后，姜司意腿软地从林棘的床上醒来时，发现自己对林棘的了解不到万分之一。
姜司意 ：“我和林棘认识十多年，从来不知道她这么会接吻。”
闺蜜：“啊……那你现在是怎么知道的？”
没发现宋缇正坐在餐厅角落。
宋缇：？？
姜司意一直以为林棘选择她联姻，是想要一位听话省心的妻子。
直到她在林棘的家里发现一封信。
一封她小时候写过的信。
.
【一怒之下怒了一下受vs清冷专情护短年上攻】
【每天中午11:30更新】
【苏爽小甜饼，同性可婚，HE】
weibo@宁远430"
6072073,这届反派不好当,一夕风月,强强、仙侠修真、系统、穿书、轻松,"在下顾白衣，幸会。
食用说明
1.高冷作死反派师姐×重生戏精女主师妹。
2.文中境界等级为：初境、通灵、鉴心、乘风、踏月、逐云、无极、绝意、归尘。
3.本文反转较多，不会没有波折，一路甜饼到大结局。
4.修过文，原版是几年前写的，一切内容以晋江版本为准。"
3531276,她也可以很温柔,妲婴,都市、情有独钟、甜文、校园、轻松,"广播剧已上线，漫播app独播
“顾宁姿，给我糖。”
HE，前部分校园，后部分社会。
简体出版信息请关注@妲妲妲哒哒哒"
